Word,Definition
Exceeding,"Going beyond what was asked or expected — you're not satisfied with meeting the standard; you want to surpass it."
Accelerating,"Speeding up progress by removing blockers, adding resources, or cutting what's slow — you move things faster and take energy from the pace."
Contributing,"Adding meaningful value to a team, project, or community — you're energized by being part of something and pulling your weight in it."
Investing,"Committing resources now to create greater value later — you think in time horizons and are comfortable with delayed return."
Fundraising,"Convincing others to put resources behind a vision — you translate possibility into commitment and make the numbers real."
Recruiting,"Identifying and attracting the right people to join something — you know talent when you see it and know how to bring it in."
Hiring,"Making strong selection decisions that bring the right people into the right roles — you have a talent for seeing who will thrive."
Recognizing,"Seeing and naming the contribution that others make, especially when it goes unnoticed — you make people feel seen."
Celebrating,"Marking achievements, milestones, and contributions with genuine enthusiasm — you know that recognition matters and you give it freely."
Standardizing,"Establishing consistent practices that can be repeated reliably — you build the playbook others follow."
Documenting,"Capturing knowledge, processes, and decisions in clear, accessible written form — you know that what isn't written down eventually disappears."
Recommending,"Providing well-considered guidance or suggestions based on expertise and analysis — you give others something they can actually act on."
Reviewing,"Examining work systematically to assess quality, progress, or risk — you close the loop and make sure nothing slips through."
Editing,"Improving something that already exists — cutting, sharpening, clarifying until it's as good as it can be."
Illustrating,"Making the abstract concrete through examples, images, or demonstrations — you know that a great illustration is worth ten explanations."
Demonstrating,"Showing something in action to prove its value or teach its function — you'd rather show than tell."
Competing,"Measuring yourself against others and being energized by the comparison — you perform better when there's something at stake."
Performing,"Delivering something in front of an audience — a presentation, a pitch, a live moment — you come alive when others are watching."
Winning,"Achieving the outcome in a competition or pursuit — you care about results and take real satisfaction in coming out on top."
Deciding,"Making a call when others are stuck — you're comfortable with ambiguity and willing to own the outcome of your choices."
Committing,"Going all-in on a course of action — you give full effort and don't hedge when you've decided something is worth doing."
Finishing,"Completing what was started — you don't let things trail off, and there's real satisfaction in seeing something through to the end."
Activating,"Turning intention into action — you're the spark that gets things moving and the force that keeps them going."
Risking,"Moving forward despite uncertainty — you tolerate ambiguity and are willing to put something on the line in pursuit of what's possible."
Initiating,"Starting things — conversations, projects, relationships — you don't wait for permission or for someone else to go first."
Persisting,"Staying the course when things get hard — you have a longer tolerance for difficulty than most and you keep going when others stop."
Restructuring,"Redesigning how something is organized to make it more effective — you're not afraid to change the bones of something that isn't working."
Budgeting,"Allocating resources with discipline and foresight — you make sure the numbers work and that what matters gets funded."
Modeling,"Building representations of systems, markets, or scenarios to support decision-making — you think in models and trust what the structure reveals."
Selling,"Creating belief in something and moving someone toward a decision — you connect what you offer to what the other person genuinely needs."
Marketing,"Shaping how an idea, product, or person is perceived by the people who matter — you understand audiences and know how to reach them."
Pitching,"Presenting an idea compellingly to someone who can say yes — you're energized by the moment of advocacy and good at making the case."
Debating,"Engaging in structured argument to test ideas and find what's true — you sharpen your thinking through opposition and enjoy the contest."
Advising,"Offering perspective and guidance to help others make better decisions — you're trusted for your judgment, not just your knowledge."
Consulting,"Applying your expertise to someone else's challenge and giving them a clear way forward — you're energized by the problem-and-answer exchange."
Affirming,"Recognizing and validating what's true and valuable in others — you see people clearly and tell them what you see."
Encouraging,"Giving others the confidence to move forward — you believe in people, especially when they're struggling to believe in themselves."
Welcoming,"Making people feel at ease and genuinely included from the first moment — you set the tone that makes others want to stay."
Sharing,"Putting what you know, have, or feel into the world generously — you believe that knowledge becomes more valuable when others have it too."
Volunteering,"Stepping forward when something needs doing — you don't wait to be asked, and you give what the moment requires."
Sensing,"Picking up on what's happening beneath the surface — the mood, the subtext, the unspoken — before it becomes explicit."
Crystallizing,"Taking vague or diffuse thinking and making it sharp and clear — you turn fog into a precise, usable idea."
Redefining,"Changing the terms of a conversation, category, or problem — you don't accept the framing you're given if a better one is available."
Sparking,"Igniting something — an idea, a conversation, a movement — you're the initial catalyst that sets things in motion."
Proposing,"Putting forward a concrete idea, plan, or solution for consideration — you move conversations from discussion to decision."
Honing,"Developing a skill or capability to a sharp edge — you're drawn to mastery and will work at something until it's excellent."
Piloting,"Running a small-scale test of something new — you're comfortable with uncertainty and know how to learn quickly from early runs."
Sustaining,"Keeping something valuable going over the long term — you understand that maintenance is a form of leadership others undervalue."
Stabilizing,"Bringing steadiness to a situation that's volatile or uncertain — you're the calm that others organize around when things are shaky."
Brokering,"Facilitating deals, agreements, or exchanges between parties who need each other — you find the terms that make it work for everyone."
Observing,"Watching carefully and noticing what others miss — you gather data through attention before you form a conclusion."
Making,"Creating physical or tangible things — you love the process of producing something real that you can hold, use, or point to."
Writing,"Expressing ideas in language with precision and power — you think through writing and produce prose that moves people."
Entertaining,"Creating joy, delight, or engagement for others — you know how to hold a room and you love the energy of doing it."
Reassuring,"Offering genuine comfort and confidence to people who are worried or uncertain — you help others feel that things are going to be okay."
Scouting,"Searching out new talent, opportunity, or territory before others find it — you're energized by discovery and good at knowing what to look for."
Strengthening,"Making something more robust, resilient, or capable — you build in the quality that makes things last."
Upgrading,"Taking version one to version two — you're energized by the gap between the current state and what it could become."
Developing,"Helping individuals, teams, or ideas grow their capability over time — you take the long view and invest in potential before it's obvious."
Spotting,"Noticing the thing that doesn't fit, the opportunity hiding in plain sight, or the detail that changes everything."
Reporting,"Creating clear, accurate accounts of what happened, what was found, or what's at stake — you turn raw information into something useful."
Guiding,"Helping others find their way through unfamiliar or complex situations — you lead from beside, not from above."
Quantifying,"Expressing qualities or outcomes in numerical terms to enable comparison and measurement — you believe that if you can measure it, you can manage it."
Simulating,"Creating test conditions or scenarios that mimic real-world situations — you'd rather run the experiment in a safe environment before committing for real."
Theorizing,"Constructing explanatory frameworks that make sense of observed patterns — you're not satisfied with knowing what happened until you understand why."
Reflecting,"Taking deliberate time to think deeply about experience and extract lasting lessons — you're energized by the act of making meaning from what you've lived."
Iterating,"Improving something through repeated cycles of testing, feedback, and adjustment — you know that the best version is never the first one."
Allocating,"Distributing resources — money, time, people, attention — to where they'll have the greatest impact — you make hard tradeoffs without flinching."
Establishing,"Creating something new and giving it permanence — a norm, a relationship, a standard — you build things meant to last."
Gathering,"Bringing people together in ways that build community, generate shared energy, and create something that couldn't happen alone."
Evolving,"Changing and developing in meaningful ways in response to experience — you're not the same person you were a year ago, and you take pride in that."
Thriving,"Operating at full capability — energized, focused, and producing your best work — you know what conditions bring out your best and you create them."
Responding,"Reacting to changing conditions or needs quickly, thoughtfully, and effectively — you're at your best when real demands show up unexpectedly."
